instance_name,n_modes,all_infeasible,any_optimal,optimal_modes,infeasible_modes,time_limit_modes,peak_system_load,mean_system_load,line_count,contingency_count,reserve_total,status_optimal,status_infeasible
matpower/case57/2017-08-14,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-08-25,23,1,0,0,23,0,848.2714799999999,644.8837150000002,80.0,79.0,464.32000000000005,,23.0
matpower/case57/2017-08-28,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-08-29,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-08-31,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-09-05,23,1,0,0,23,0,985.21697,743.6809336111111,80.0,79.0,535.43,,23.0
matpower/case57/2017-09-18,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-09-23,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-10-06,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-11-09,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-11-17,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-12-14,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-12-20,23,1,0,0,23,0,,,,,,,23.0
matpower/case57/2017-12-25,23,1,0,0,23,0,829.7147799999998,687.987618611111,80.0,79.0,495.33999999999986,,23.0
matpower/case57/2017-01-04,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-01-08,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-01-09,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-01-13,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-01-18,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-01-23,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-02-07,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-02-08,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-02-14,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-02-26,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-03-02,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-03-04,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-03-11,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-03-14,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-03-23,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-03-25,23,0,1,23,0,0,626.4919800000002,529.6404169444445,80.0,79.0,381.30999999999995,23.0,
matpower/case57/2017-04-06,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-04-08,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-04-10,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-04-20,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-04-21,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-04-22,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-04-23,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-04-24,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-05-01,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-05-13,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-05-19,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-05-26,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-06-01,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-06-12,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-06-25,23,0,1,23,0,0,856.4522000000001,667.6129622222222,80.0,79.0,480.64999999999986,23.0,
matpower/case57/2017-06-28,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-07-01,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-07-10,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-07-14,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-07-16,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-07-24,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-07-27,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-10-01,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-10-13,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-10-14,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-10-19,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-10-31,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-11-02,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-11-07,23,0,1,23,0,0,,,,,,23.0,
matpower/case57/2017-11-25,23,0,1,23,0,0,677.0087900000001,558.7863336111111,80.0,79.0,402.32,23.0,
